sample number	TROP2 carcinoma H score	TROP 2 overall H score
cs31	150	90
cs29	80	48
cs20	90	90
cs19	5	0.5
cs9	160	64
cs18	50	5
cs5	0	0
cs40	140	126
cs42	90	27
cs39		
cs27		
cs12	20	1
cs41	130	117
cs49	160	152
cs68	5	5
cs36	230	115
cs26	160	128
cs66	130	104
cs44	40	36
cs14	140	84
cs13	10	1
cs16	90	18
cs10	50	47.5
cs28	120	96
cs4	15	6
cs30	0	0
cs62	100	100
cs23	25	21.5
cs67	0	0
cs69	40	32
cs32	170	51
cs55	170	153
cs63	95	85.5
cs59	110	66
cs6	160	128
cs64	140	98
cs2	2	1.2
cs71	105	84
cs35	170	170
cs65	70	21
cs45	170	161.5
cs11		0
cs1	25	25
cs21	90	54
cs38	15	13.5
cs24	0	0
cs34	55	5.5
cs22	60	60
cs3	150	142.5
cs53	60	30
cs50	10	8
cs33	140	28
cs48	190	152
cs46	215	161.5
cs70	95	57
cs51	120	108
cs17	40	32
cs8	100	
cs15	170	170
cs25	140	70
cs56	0	0
cs52	150	105
cs54	165	99
cs58	250	237.5
cs72	20	20
cs60		0
cs43	240	240
cs47	120	36
cs61		
cs7	170	85
cs37		0
cs57	90	1.8
